team_id,team_name,season,season_type,assistTurnoverRatio,assists,avgAssists,avgBlocks,avgDefensiveRebounds,avgDisqualifications,avgEjections,avgEstimatedPossessions,avgFieldGoalsAttempted,avgFieldGoalsMade,avgFlagrantFouls,avgFouls,avgFreeThrowsAttempted,avgFreeThrowsMade,avgMinutes,avgOffensiveRebounds,avgPoints,avgRebounds,avgSteals,avgTeamRebounds,avgTeamTurnovers,avgTechnicalFouls,avgThreePointFieldGoalsAttempted,avgThreePointFieldGoalsMade,avgTotalTurnovers,avgTurnovers,avgTwoPointFieldGoalsAttempted,avgTwoPointFieldGoalsMade,blockFoulRatio,blocks,defensiveRebounds,disqualifications,doubleDouble,ejections,estimatedPossessions,fantasyRating,fastBreakPoints,fieldGoalPct,fieldGoals,fieldGoalsAttempted,fieldGoalsMade,flagrantFouls,fouls,freeThrowPct,freeThrows,freeThrowsAttempted,freeThrowsMade,gamesPlayed,gamesStarted,minutes,offensiveReboundPct,offensiveRebounds,pace,points,pointsPerEstimatedPossessions,rebounds,scoringEfficiency,secondChancePoints,shootingEfficiency,stealFoulRatio,stealTurnoverRatio,steals,teamAssistTurnoverRatio,teamRebounds,teamTurnovers,technicalFouls,threePointFieldGoalPct,threePointFieldGoalsAttempted,threePointFieldGoalsMade,totalRebounds,totalTechnicalFouls,totalTurnovers,tripleDouble,turnoverPoints,turnovers,twoPointFieldGoalPct,twoPointFieldGoalsAttempted,twoPointFieldGoalsMade
24,Stanford Cardinal,2026,2,1.1,241,12.1,3.3,23.0,0.0,0.0,68.8,58.7,24.8,0.1,17.8,24.7,17.9,200.0,11.9,76.0,34.9,8.0,3.5,1.1,0.0,25.5,8.6,12.2,11.1,33.2,16.2,0.2,66,459,0,0,0,1375.6,0.0,217,42.2,495/1173,1173,495,1,356,72.5,358/494,494,358,20,0,4000,0.4,238,68.8,1519,1.1,697,1.295,0,0.49,0.4,0.7,159,11.0,70,22,0,33.5,510,171,697,0,221,0,356,221,48.9,663.0,324.0
25,California Golden Bears,2026,2,1.4,286,14.3,3.7,25.5,0.2,0.0,67.9,58.1,26.2,0.0,18.5,22.1,17.5,200.0,9.3,78.8,34.8,6.3,3.9,0.5,0.4,24.5,9.0,10.3,9.9,33.6,17.2,0.2,73,509,3,0,0,1358.8,0.0,188,45.0,523/1161,1161,523,0,369,79.2,350/442,442,350,20,0,4000,0.3,186,67.9,1575,1.2,695,1.357,0,0.53,0.3,0.6,126,31.8,77,9,8,36.5,490,179,695,8,198,0,291,198,51.3,671.0,344.0
52,Florida State Seminoles,2026,2,1.2,298,14.9,3.8,23.5,0.0,0.0,73.1,65.3,27.6,0.1,19.5,21.7,15.5,200.0,13.5,81.3,37.0,8.8,3.6,0.3,0.5,33.6,10.6,12.7,12.5,31.7,17.0,0.2,75,469,0,0,0,1462.2,0.0,216,42.3,552/1305,1305,552,1,389,71.6,310/433,433,310,20,0,4000,0.4,270,73.1,1626,1.1,739,1.246,0,0.50,0.4,0.7,175,59.6,71,5,9,31.6,671,212,739,9,249,0,325,249,53.6,634.0,340.0
59,Georgia Tech Yellow Jackets,2026,2,1.2,334,16.7,4.3,28.1,0.0,0.0,71.4,59.4,26.6,0.1,17.9,21.7,14.9,201.3,11.1,75.0,39.2,6.6,3.5,0.9,0.1,18.7,6.9,14.5,13.6,40.7,19.8,0.2,85,561,0,0,0,1427.2,0.0,189,44.8,532/1187,1187,532,2,357,68.8,298/433,433,298,20,0,4025,0.3,222,71.4,1499,1.1,783,1.263,0,0.51,0.4,0.5,131,19.6,69,17,2,36.6,374,137,783,2,272,0,254,272,48.6,813.0,395.0
87,Notre Dame Fighting Irish,2026,2,1.0,238,11.9,2.1,26.1,0.1,0.0,65.7,57.7,25.8,0.1,17.3,18.9,13.0,201.3,11.7,72.9,37.7,4.4,3.2,0.6,0.2,23.9,8.4,12.2,11.6,33.8,17.4,0.1,41,521,1,0,0,1314.2,0.0,149,44.7,515/1153,1153,515,2,346,68.8,260/378,378,260,20,0,4025,0.4,233,65.7,1458,1.1,754,1.265,0,0.52,0.3,0.4,87,21.6,63,11,4,35.2,477,168,754,4,232,0,222,232,51.3,676.0,347.0
97,Louisville Cardinals,2026,2,1.5,339,17.8,3.3,28.8,0.0,0.0,70.7,62.8,29.5,0.1,19.3,21.9,16.9,200.0,12.6,87.8,41.4,7.3,2.4,0.2,0.2,33.8,11.9,11.7,11.5,28.9,17.5,0.2,63,547,0,0,0,1342.4,0.0,123,46.9,560/1193,1193,560,1,366,77.2,321/416,416,321,19,0,3800,0.4,240,70.7,1668,1.2,787,1.398,0,0.56,0.4,0.6,139,84.8,46,4,4,35.3,643,227,787,4,219,0,289,219,60.5,550.0,333.0
103,Boston College Eagles,2026,2,1.1,228,11.4,4.9,26.8,0.1,0.0,66.5,58.5,23.5,0.1,17.0,20.5,13.6,205.0,11.1,68.2,37.9,5.0,3.3,0.4,0.2,25.6,7.6,10.9,10.5,32.9,15.9,0.3,98,536,1,0,0,1330.0,0.0,136,40.2,470/1169,1169,470,2,340,66.3,272/410,410,272,20,0,4100,0.3,221,66.5,1364,1.0,757,1.167,0,0.47,0.3,0.5,99,28.5,66,8,4,29.7,511,152,757,4,210,0,209,210,48.3,658.0,318.0
150,Duke Blue Devils,2026,2,1.5,332,17.5,4.1,27.8,0.2,0.0,67.9,58.6,29.2,0.1,16.6,25.3,18.1,200.0,12.4,85.7,40.2,8.5,2.7,0.2,0.1,26.8,9.2,11.5,11.4,31.8,20.0,0.2,77,528,3,0,0,1290.0,0.0,221,49.8,555/1114,1114,555,2,315,71.7,344/480,480,344,19,0,3800,0.4,235,67.9,1629,1.3,763,1.462,0,0.58,0.5,0.8,162,110.7,52,3,2,34.4,509,175,763,2,216,0,303,216,62.8,605.0,380.0
152,NC State Wolfpack,2026,2,1.7,330,16.5,3.3,26.1,0.1,0.0,69.7,60.8,29.0,0.0,19.3,21.9,16.7,202.5,9.8,85.3,35.9,8.8,3.2,0.3,0.4,27.3,10.8,10.0,9.7,33.6,18.2,0.2,66,521,1,0,0,1394.8,0.0,257,47.6,579/1216,1216,579,0,386,76.2,333/437,437,333,20,0,4050,0.3,196,69.7,1706,1.2,717,1.403,0,0.56,0.5,0.9,176,55.0,63,6,8,39.4,545,215,717,8,194,0,365,194,54.2,671.0,364.0
153,North Carolina Tar Heels,2026,2,1.7,341,17.1,3.7,28.5,0.0,0.0,67.5,59.4,28.7,0.1,14.9,24.4,16.5,200.0,11.6,82.6,40.1,5.8,3.4,0.1,0.0,25.5,8.8,9.9,9.9,34.0,19.9,0.2,74,570,0,0,0,1349.8,0.0,248,48.2,573/1188,1188,573,2,297,67.6,329/487,487,329,20,0,4000,0.4,231,67.5,1651,1.2,801,1.390,0,0.56,0.4,0.6,115,341.0,67,1,0,34.6,509,176,801,0,197,0,251,197,58.5,679.0,397.0
154,Wake Forest Demon Deacons,2026,2,1.3,303,15.2,3.5,22.4,0.1,0.0,71.1,61.9,27.8,0.0,19.1,20.2,15.3,201.3,11.0,80.4,33.3,9.4,3.4,0.4,0.2,27.8,9.5,12.1,11.7,34.1,18.4,0.2,70,447,1,0,0,1422.2,0.0,227,44.9,556/1238,1238,556,0,382,75.9,306/403,403,306,20,0,4025,0.3,219,71.1,1607,1.1,666,1.298,0,0.53,0.5,0.8,187,37.9,68,8,4,34.0,556,189,666,4,234,0,366,234,53.8,682.0,367.0
183,Syracuse Orange,2026,2,1.2,267,13.4,6.2,24.8,0.1,0.0,68.0,57.5,27.1,0.0,16.5,22.7,14.5,202.5,10.6,75.7,35.4,6.8,3.6,0.4,0.2,20.9,7.0,12.0,11.6,36.6,20.1,0.4,124,496,1,0,0,1360.6,0.0,257,47.1,542/1150,1150,542,0,330,63.7,289/454,454,289,20,0,4050,0.3,211,68.0,1513,1.1,707,1.316,0,0.53,0.4,0.6,136,33.4,72,8,3,33.5,418,140,707,3,232,0,332,232,54.9,732.0,402.0
221,Pittsburgh Panthers,2026,2,1.2,264,13.2,3.2,23.1,0.0,0.1,65.1,58.6,26.1,0.1,17.2,18.3,12.1,200.0,12.3,72.7,35.3,6.7,3.1,0.5,0.1,23.9,8.4,11.5,11.0,34.7,17.8,0.2,64,461,0,0,1,1302.0,0.0,188,44.6,522/1171,1171,522,1,344,66.3,242/365,365,242,20,0,4000,0.4,245,65.1,1453,1.1,706,1.241,0,0.52,0.4,0.6,133,26.4,61,10,2,34.9,478,167,706,2,220,0,271,220,51.2,693.0,355.0
228,Clemson Tigers,2026,2,1.4,284,13.5,2.5,26.6,0.0,0.0,66.6,57.5,26.6,0.0,16.6,21.5,15.6,202.4,10.1,77.1,36.8,6.4,3.0,0.8,0.1,24.4,8.2,10.6,9.8,33.0,18.4,0.1,52,559,0,0,0,1397.8,0.0,166,46.3,559/1207,1207,559,1,349,72.6,328/452,452,328,21,0,4250,0.3,213,66.6,1619,1.2,772,1.341,0,0.53,0.4,0.7,135,16.7,64,17,2,33.7,513,173,772,2,206,0,289,206,55.6,694.0,386.0
258,Virginia Cavaliers,2026,2,1.6,328,17.3,6.2,27.7,0.1,0.0,67.0,61.3,28.9,0.0,18.9,22.1,15.5,203.9,14.3,83.8,42.1,6.4,3.7,0.4,0.0,28.4,10.4,11.2,10.8,32.9,18.5,0.3,118,527,1,0,0,1273.0,0.0,209,47.3,550/1164,1164,550,0,360,70.0,294/420,420,294,19,0,3875,0.4,272,67.0,1592,1.3,799,1.368,0,0.56,0.3,0.6,121,46.9,70,7,0,36.7,539,198,799,0,206,0,264,206,56.3,625.0,352.0
259,Virginia Tech Hokies,2026,2,1.4,306,14.6,3.7,24.9,0.1,0.0,70.2,61.5,28.0,0.0,17.2,23.6,17.0,207.1,11.4,81.5,36.2,7.0,2.6,0.3,0.2,23.9,8.4,10.7,10.4,37.6,19.6,0.2,78,522,2,0,0,1474.0,0.0,195,45.5,588/1291,1291,588,0,361,72.3,358/495,495,358,21,0,4350,0.3,239,70.2,1711,1.2,761,1.325,0,0.52,0.4,0.7,148,51.0,55,6,5,35.3,501,177,761,5,218,0,336,218,52.0,790.0,411.0
2390,Miami Hurricanes,2026,2,1.5,354,17.7,3.3,26.5,0.1,0.0,69.9,60.9,31.1,0.1,16.6,22.8,15.8,200.0,12.3,85.0,38.8,8.3,3.5,0.4,0.2,20.4,7.0,12.2,11.9,40.5,24.1,0.2,65,529,2,0,0,1397.4,0.0,262,51.0,621/1217,1217,621,1,332,69.3,316/456,456,316,20,0,4000,0.4,246,69.9,1699,1.2,775,1.396,0,0.57,0.5,0.7,166,50.6,70,7,3,34.1,408,139,775,3,237,0,359,237,59.6,809.0,482.0
2567,SMU Mustangs,2026,2,1.5,356,17.8,4.0,26.0,0.0,0.0,71.7,63.1,31.2,0.0,17.2,22.1,17.0,202.5,12.4,87.3,38.4,7.7,3.6,0.6,0.3,21.6,7.9,12.2,11.6,41.5,23.3,0.2,79,520,0,0,0,1434.4,0.0,258,49.4,624/1262,1262,624,0,344,76.9,339/441,441,339,20,0,4050,0.4,247,71.7,1745,1.2,767,1.383,0,0.56,0.4,0.7,154,32.4,72,11,6,36.6,432,158,767,6,232,0,355,232,56.1,830.0,466.0
